States/UTs,Total Number of Persons Injured on NH during 2018,Total Number of Persons Injured on NH during 2019,Total Number of Persons Injured on NH during 2020,Total Number of Persons Injured on NH during 2021 - Number,Total Number of Persons Injured on NH during 2021 - Rank
Andhra Pradesh,8251,8651,7215,8323,6
Arunachal Pradesh,105,138,83,150,29
Assam,3389,3625,2369,2631,15
Bihar,2771,3296,3540,3534,11
Chhattisgarh,3592,3541,3075,2906,13
Goa,541,374,262,228,26
Gujarat,3677,3112,2760,2781,14
Haryana,3337,2837,2387,2514,16
Himachal Pradesh,2559,2328,1592,1645,18
Jharkhand,1223,1483,1230,1138,19
Karnataka,16503,16835,13131,13229,2
Kerala,10461,10710,7354,8984,5
Madhya Pradesh,10055,10362,9714,10468,3
Maharashtra,8457,7263,5253,5901,9
Manipur,585,602,401,320,24
Meghalaya,36,134,160,175,28
Mizoram,32,25,26,27,33
Nagaland,180,150,168,240,25
Odisha,4494,4359,3421,3520,12
Punjab,1582,1454,974,1100,20
Rajasthan,7023,7002,5096,6065,8
Sikkim,116,95,61,110,31
Tamil Nadu,24016,21770,17446,17596,1
Telangana,7049,7591,6649,6916,7
Tripura,227,297,182,207,27
Uttarakhand,759,705,402,546,22
Uttar Pradesh,10912,10900,8986,9512,4
West Bengal,4203,3714,3259,3570,10
Andaman and Nicobar Islands,99,74,55,44,32
Chandigarh,35,27,12,21,34
Dadra and Nagar Haveli,0,0,0,0,35
Daman and Diu,0,0,NA,NA,NA
Delhi,704,742,386,427,23
Jammu and Kashmir,2762,2620,1740,2175,17
Ladakh,NA,NA,NA,119,30
Lakshadweep,0,0,0,0,35
Puducherry,887,733,509,643,21
Total,140622,137549,109898,117765,NA
