States/UTs,Total Number of Persons Killed on NH during 2018,Total Number of Persons Killed on NH during 2019,Total Number of Persons Killed on NH during 2020,Total Number of Persons Killed on NH during 2021 - Number,Total Number of Persons Killed on NH during 2021 - Rank
Andhra Pradesh,2929,3114,2858,3602,5
Arunachal Pradesh,56,54,32,87,25
Assam,1541,1690,1322,1574,16
Bihar,3051,3436,3285,3517,6
Chhattisgarh,1384,1421,1390,1663,15
Goa,104,107,61,83,27
Gujarat,2171,1898,1797,2077,11
Haryana,2088,1901,1663,1766,14
Himachal Pradesh,470,487,314,425,20
Jharkhand,1122,1554,1241,1496,17
Karnataka,3986,3842,3330,3487,7
Kerala,1248,1259,887,975,18
Madhya Pradesh,2601,2904,3022,3389,8
Maharashtra,4088,3799,3528,4080,3
Manipur,88,111,90,77,28
Meghalaya,73,89,81,112,23
Mizoram,15,19,20,23,31
Nagaland,12,18,29,25,30
Odisha,1999,2000,1781,1933,13
Punjab,2085,1693,1492,1950,12
Rajasthan,3874,3870,3320,3829,4
Sikkim,31,29,14,23,31
Tamil Nadu,4492,3956,3203,5263,2
Telangana,2064,2491,2620,2735,9
Tripura,77,106,78,94,24
Uttarakhand,631,428,365,430,19
Uttar Pradesh,8818,8830,7859,8506,1
West Bengal,2150,2002,1810,2177,10
Andaman and Nicobar Islands,8,7,8,5,34
Chandigarh,16,13,6,21,33
Dadra and Nagar Haveli,0,0,0,0,35
Daman and Diu,0,0,NA,NA,NA
Delhi,263,278,149,201,22
Jammu and Kashmir,400,384,258,268,21
Ladakh,NA,NA,NA,27,29
Lakshadweep,0,0,0,0,35
Puducherry,111,82,71,87,25
Total,54046,53872,47984,56007,NA
